id,x,y
9100527198,2.2862953,41.6073341
9100658144,2.2895960,41.6137480
9100664303,2.2878566,41.6094543
9100677377,2.2907866,41.6147295
9100680026,2.2875639,41.6049348
9100681218,2.2839377,41.6047532
9100681231,2.2832281,41.6048713
9100682473,2.2835448,41.6105436
9100685322,2.2826119,41.6010176
9100695278,2.2856383,41.6078865
9100699710,2.2834923,41.6077058
9100701777,2.2809916,41.5863360
9100717340,2.2862049,41.6087026
9100723316,2.2836169,41.6004999
9100727750,2.2881422,41.6045572
9100735762,2.2882135,41.6103062
9100744232,2.2857910,41.6095412
9100747036,2.2881422,41.6045572
9100751859,2.2857091,41.6119638
9100751879,2.2868959,41.6125659
9100752730,2.2868135,41.6110212
9100756820,2.2893978,41.6135096
9100764052,2.2829522,41.6066781
9100764737,2.2857091,41.6119638
9100553805,2.2899627,41.6000610
9100041010,2.2906157,41.6014433
9100041103,2.2890758,41.6022669
9100043144,2.3021682,41.6098501
9100043853,2.2902828,41.6091422
9100044157,2.2879157,41.6000696
9100094835,2.2902828,41.6091422
9100120794,2.2902828,41.6091422
9100151073,2.2879157,41.6000696
9100238682,2.2894189,41.6076472
9100338195,2.2948382,41.6128906
9100340763,2.2946433,41.6212710
9100341135,2.2916653,41.6128008
9100348821,2.2880423,41.5908820
9100355289,2.2912334,41.5997034
9100503002,2.2903709,41.6081160
9100513352,2.2880423,41.5908820
9100616552,2.2870963,41.5997457
9100619658,2.2900023,41.6076959
9100658142,2.2902828,41.6091422
9100661498,2.3021682,41.6098501
9100678134,2.2902828,41.6091422
9100685852,2.2884292,41.5975345
9100688641,2.2962684,41.6075810
9100698912,2.2883573,41.5961028
9100699983,2.2930628,41.6183051
9100700301,2.2901218,41.5929397
9100703647,2.2900905,41.6066610
9100718706,2.2896298,41.6043855
9100723039,2.2962428,41.6016140
9100723531,2.2902828,41.6091422
9100729258,2.2905778,41.6068004
9100729405,2.2880423,41.5908820
9100730939,2.2912636,41.6042778
9100732766,2.2903800,41.6100748
9100736806,2.2912334,41.5997034
9100737231,2.2948382,41.6128906
9100738166,2.2948382,41.6128906
9100742644,2.2962428,41.6016140
9100742712,2.2877804,41.6032002
9100743172,2.2901218,41.5929397
9100743868,2.2883573,41.5961028
9100745043,2.2905456,41.6050949
9100747591,2.3021682,41.6098501
9100750645,2.2902828,41.6091422
