id,x,y
9100681586,2.2761414,41.9534888
9100673632,2.2664487,41.9339248
9100642823,2.2524996,41.9432633
9100684868,2.2515181,41.9427456
9100577691,2.2596812,41.9440200
9100579841,2.2699563,41.9468902
9100577732,2.2568159,41.9225347
9100215822,2.2534725,41.9344164
9100159640,2.2537880,41.9304920
9100661094,2.2503658,41.9325627
9100664901,2.2607560,41.9353285
9100723046,2.2530973,41.9387629
9100700207,2.2542440,41.9311873
9100592884,2.2580752,41.9432061
9100648495,2.2503642,41.9400424
9100669635,2.2427068,41.9339086
9100581337,2.2507540,41.9282378
9100399521,2.2464148,41.9257044
9100411152,2.2464148,41.9257044
9100642838,2.2521353,41.9282438
9100577728,2.2595161,41.9236118
9100416412,2.2576833,41.9469832
9100353302,2.2536660,41.9216704
9100159004,2.2535786,41.9232104
9100158975,2.2511652,41.9218291
9100158925,2.2511589,41.9209841
9100135277,2.2483197,41.9330738
9100582033,2.2601402,41.9369272
9100579835,2.2700673,41.9491580
9100582097,2.2601402,41.9369272
9100701789,2.2556061,41.9280651
9100059229,2.3040510,41.9147708
9100058850,2.2556935,41.9272415
9100689904,2.2524005,41.9266809
9100617812,2.2563649,41.9303739
9100563642,2.2531530,41.9316684
9100492927,2.2650848,41.9278044
9100374429,2.2552611,41.9299960
9100343446,2.2613364,41.9329919
9100253034,2.2433976,41.9288411
9100197987,2.2598956,41.9351571
9100192841,2.2591520,41.9298377
9100159002,2.2553725,41.9392044
9100158946,2.2532078,41.9311045
9100158856,2.2493603,41.9282167
9100158828,2.2605091,41.9496266
9100158696,2.2444589,41.9278558
9100152300,2.2468399,41.9259367
9100081422,2.2535593,41.9294084
9100059399,2.2581330,41.9307726
9100636961,2.2505314,41.9319171
9100389358,2.2565573,41.9292890
129963,2.2553725,41.9392044
129963,2.2553725,41.9392044
9100160118,2.2607705,41.9362066
9100579824,2.2613364,41.9329919
9100738149,2.2565573,41.9292890
9100058481,2.2511499,41.9336836
9100058670,2.2570623,41.9201837
9100554547,2.2490191,41.9261272
9100206312,2.2613364,41.9329919
9100649610,2.2602515,41.9356846
9100666666,2.2525867,41.9279680
9100678356,1.7238666,41.2247191
9100735783,2.2503642,41.9400424
9100737400,2.0130333,41.5749006
9100153533,2.2122023,41.5377822
9100423445,2.2139430,41.5373566
9100505447,2.2108199,41.5364182
9100138634,2.2261548,41.5487678
9100228193,2.2109740,41.5379267
9100519725,2.2080131,41.5487496
9100519746,2.2199409,41.5483345
